Gene	"Gene synonym"	"Gene description"
ENTPD2	"CD39L1, NTPDase-2"	"Ectonucleoside triphosphate diphosphohydrolase 2"
ENTPD3	"CD39L3, HB6, NTPDase-3"	"Ectonucleoside triphosphate diphosphohydrolase 3"
EPHA10	"FLJ16103, FLJ33655"	"EPH receptor A10"
EPHB1	"EPHT2, Hek6"	"EPH receptor B1"
EPHB6	HEP	"EPH receptor B6"
EPHX4	"ABHD7, EH4, EPHXRP, FLJ90341"	"Epoxide hydrolase 4"
EPOP	"C17orf96, LOC100170841, PRR28"	"Elongin BC and polycomb repressive complex 2 associated protein"
ERAS	"HRAS2, HRASP"	"ES cell expressed Ras"
ERBB4	"ALS19, HER4"	"Erb-b2 receptor tyrosine kinase 4"
ERBIN	"ERBB2IP, LAP2"	"Erbb2 interacting protein"
ESPNL	FLJ42568	"Espin like"
ESRRG	"ERR-gamma, ERRg, NR3B3"	"Estrogen related receptor gamma"
ESS2	"bis1, DGCR13, DGCR14, DGS-H, DGSI, ES2, Es2el, ESS-2"	"Ess-2 splicing factor homolog"
ESYT3	"CHR3SYT, FAM62C"	"Extended synaptotagmin 3"
ETDC		"Embryonic testis differentiation homolog C"
ETNPPL	AGXT2L1	"Ethanolamine-phosphate phospho-lyase"
ETV1	ER81	"ETS variant transcription factor 1"
ETV3L	FLJ16478	"ETS variant transcription factor 3 like"
EVI2A	"EVDA, EVI2"	"Ecotropic viral integration site 2A"
EXPH5	SLAC2-B	"Exophilin 5"
F2RL2	PAR3	"Coagulation factor II thrombin receptor like 2"
FADS6		"Fatty acid desaturase 6"
FAIM2	"KIAA0950, LFG, LFG2, LIFEGUARD, NMP35, TMBIM2"	"Fas apoptotic inhibitory molecule 2"
FAM131C	"C1orf117, FLJ36766"	"Family with sequence similarity 131 member C"
FAM133A	"CT115, FLJ37659, RP1-32F7.2"	"Family with sequence similarity 133 member A"
FAM135B	C8ORFK32	"Family with sequence similarity 135 member B"
FAM13C	FAM13C1	"Family with sequence similarity 13 member C"
FAM155A		"Family with sequence similarity 155 member A"
FAM163A	"C1orf76, MGC16664, NDSP"	"Family with sequence similarity 163 member A"
FAM167A	"C8orf13, DIORA-1"	"Family with sequence similarity 167 member A"
FAM169A	"KIAA0888, SLAP75"	"Family with sequence similarity 169 member A"
FAM171A1	"APCN, C10orf38, FLJ12884"	"Family with sequence similarity 171 member A1"
FAM171A2	MGC34829	"Family with sequence similarity 171 member A2"
FAM171B	"FLJ34104, KIAA1946"	"Family with sequence similarity 171 member B"
FAM180B	LOC399888	"Family with sequence similarity 180 member B"
FAM184A	"C6orf60, FLJ13942"	"Family with sequence similarity 184 member A"
FAM184B	KIAA1276	"Family with sequence similarity 184 member B"
FAM219A	"bA573M23.5, C9orf25, FLJ39031"	"Family with sequence similarity 219 member A"
FAM222A	"C12orf34, FLJ14721"	"Family with sequence similarity 222 member A"
FAM234B	KIAA1467	"Family with sequence similarity 234 member B"
FAM240A		"Family with sequence similarity 240 member A"
FAM241B	C10orf35	"Family with sequence similarity 241 member B"
FAM78B		"Family with sequence similarity 78 member B"
FAM81A	MGC26690	"Family with sequence similarity 81 member A"
FAM86B1	MGC16279	"Family with sequence similarity 86 member B1"
FANCB	"FAAP95, FAB, FLJ34064"	"FA complementation group B"
FAT2	"CDHF8, CDHR9, HFAT2, MEGF1"	"FAT atypical cadherin 2"
FBXL15	"Fbl15, FBXO37, MGC11279"	"F-box and leucine rich repeat protein 15"
FBXL18	"Fbl18, FLJ11467"	"F-box and leucine rich repeat protein 18"
FBXO41	"Fbx41, KIAA1940"	"F-box protein 41"
FBXO44	"FBG3, FBX30, Fbx44, Fbxo6a, MGC14140"	"F-box protein 44"
FBXW7	"AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10"	"F-box and WD repeat domain containing 7"
FCHO1	KIAA0290	"FCH and mu domain containing endocytic adaptor 1"
FEZ1	UNC-76	"Fasciculation and elongation protein zeta 1"
FGF1	"AFGF, ECGF, ECGF-beta, ECGFA, ECGFB, FGF-alpha, FGFA, GLIO703, HBGF1"	"Fibroblast growth factor 1"
FGF13	"FGF2, FHF2, FLJ30672, LINC00889"	"Fibroblast growth factor 13"
FGF14	"FHF4, SCA27"	"Fibroblast growth factor 14"
FGF17	FGF-13	"Fibroblast growth factor 17"
FGF20		"Fibroblast growth factor 20"
FGF22		"Fibroblast growth factor 22"
FGFR2	"BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25"	"Fibroblast growth factor receptor 2"
FGFR3	"ACH, CD333, CEK2, JTK4"	"Fibroblast growth factor receptor 3"
FIBCD1	FLJ14810	"Fibrinogen C domain containing 1"
FKBP1B	"FKBP12.6, FKBP1L, FKBP9, OTK4, PPIase"	"FKBP prolyl isomerase 1B"
FLRT1	"MGC21624, SPG68"	"Fibronectin leucine rich transmembrane protein 1"
FLT3	"CD135, FLK2, STK1"	"Fms related receptor tyrosine kinase 3"
FMN1	"DKFZP686C2281, FLJ45135, FMN, LD, MGC125288, MGC125289"	"Formin 1"
FMN2		"Formin 2"
FMNL2	"FHOD2, KIAA1902"	"Formin like 2"
FN3K		"Fructosamine 3 kinase"
FNDC10	C1orf233	"Fibronectin type III domain containing 10"
FNDC7	FLJ35838	"Fibronectin type III domain containing 7"
FNTB	FPTB	"Farnesyltransferase, CAAX box, beta"
FO681492.1		Synaptotagmin-15
FOXD1	"FKHL8, FREAC4"	"Forkhead box D1"
FOXD4L3	FOXD6	"Forkhead box D4 like 3"
FOXD4L5	bA15J10.2	"Forkhead box D4 like 5"
FOXD4L6		"Forkhead box D4 like 6"
FOXJ1	"FKHL13, HFH-4, HFH4"	"Forkhead box J1"
FOXN2	HTLF	"Forkhead box N2"
FP565260.2		"Novel protein"
FP565260.3		"ICOS ligand"
FRAS1	"FLJ14927, FLJ22031, KIAA1500"	"Fraser extracellular matrix complex subunit 1"
FREM3		"FRAS1 related extracellular matrix 3"
FRMD4B	"GRSP1, KIAA1013"	"FERM domain containing 4B"
FRMPD2	"MGC35285, PDZD5C, PDZK5C"	"FERM and PDZ domain containing 2"
FRMPD3	"KIAA1817, RP5-1070B1.1"	"FERM and PDZ domain containing 3"
FRRS1L	"C9orf4, CG-6"	"Ferric chelate reductase 1 like"
FRYL	"AF4p12, DKFZp686E205, KIAA0826, MOR2"	"FRY like transcription coactivator"
FSTL4	KIAA1061	"Follistatin like 4"
FUT8		"Fucosyltransferase 8"
FZD9	"CD349, FZD3"	"Frizzled class receptor 9"
GAB1	DFNB26	"GRB2 associated binding protein 1"
GAB2	KIAA0571	"GRB2 associated binding protein 2"
GABRA2		"Gamma-aminobutyric acid type A receptor subunit alpha2"
GABRB3		"Gamma-aminobutyric acid type A receptor subunit beta3"
GABRG2		"Gamma-aminobutyric acid type A receptor subunit gamma2"
GABRG3		"Gamma-aminobutyric acid type A receptor subunit gamma3"
GAGE10		"G antigen 10"
GAL3ST1	CST	"Galactose-3-O-sulfotransferase 1"
GAL3ST3	GAL3ST2	"Galactose-3-O-sulfotransferase 3"
GALNT13	"GalNAc-T13, KIAA1918"	"Polypeptide N-acetylgalactosaminyltransferase 13"
GALNT15	"GALNT7, GALNTL2, pp-GalNAc-T15"	"Polypeptide N-acetylgalactosaminyltransferase 15"
GALNT16	"GalNAc-T16, GALNTL1, KIAA1130"	"Polypeptide N-acetylgalactosaminyltransferase 16"
GALNT17	"GalNAc-T17, GalNAc-T19, GalNAc-T5L, GALNTL3, ppGalNAc-T17, WBSCR17"	"Polypeptide N-acetylgalactosaminyltransferase 17"
GALNT9	GALNAC-T9	"Polypeptide N-acetylgalactosaminyltransferase 9"
GALNTL6	"GalNAc-T6L, GALNT17"	"Polypeptide N-acetylgalactosaminyltransferase like 6"
GALR1	"GALNR, GALNR1"	"Galanin receptor 1"
GAS7	"KIAA0394, MGC1348"	"Growth arrest specific 7"
GCSAML	"C1orf150, FLJ44728"	"Germinal center associated signaling and motility like"
GDA		"Guanine deaminase"
GDAP1	"CMT2K, CMT4, CMT4A"	"Ganglioside induced differentiation associated protein 1"
GDF11	"BMP-11, BMP11"	"Growth differentiation factor 11"
GDI1	"FLJ41411, GDIL, MRX41, MRX48, OPHN2, RABGDIA, XAP-4"	"GDP dissociation inhibitor 1"
GFOD1	"ADG-90, C6orf114, FLJ20330"	"Glucose-fructose oxidoreductase domain containing 1"
GIT1		"GIT ArfGAP 1"
GJA9	"CX58, CX59, GJA10"	"Gap junction protein alpha 9"
GJB1	"CMTX, CMTX1, CX32"	"Gap junction protein beta 1"
GLB1L3	FLJ90231	"Galactosidase beta 1 like 3"
GLCE	"HSEPI, KIAA0836"	"Glucuronic acid epimerase"
GLIS3	"MGC33662, ZNF515"	"GLIS family zinc finger 3"
GLP1R	GLP-1R	"Glucagon like peptide 1 receptor"
GLRB		"Glycine receptor beta"
GMFB	GMF	"Glia maturation factor beta"
GNA12	gep	"G protein subunit alpha 12"
GNAO1	G-ALPHA-o	"G protein subunit alpha o1"
GNAZ		"G protein subunit alpha z"
GNG4		"G protein subunit gamma 4"
GNG8		"G protein subunit gamma 8"
GNRH2		"Gonadotropin releasing hormone 2"
GOLGA7B	"bA451M19.3, bA459F3.4, C10orf132, C10orf133"	"Golgin A7 family member B"
GP1BB	"CD42c, GPIbbeta"	"Glycoprotein Ib platelet subunit beta"
GPC5		"Glypican 5"
GPM6B	"M6B, MGC17150, MGC54284"	"Glycoprotein M6B"
GPR12	"GPCR21, PPP1R84"	"G protein-coupled receptor 12"
GPR143	OA1	"G protein-coupled receptor 143"
GPR150	PGR11	"G protein-coupled receptor 150"
GPR19		"G protein-coupled receptor 19"
GPR21		"G protein-coupled receptor 21"
GPR22		"G protein-coupled receptor 22"
GPR27	SREB1	"G protein-coupled receptor 27"
GPR3	ACCA	"G protein-coupled receptor 3"
GPR45	"PSP24, PSP24A"	"G protein-coupled receptor 45"
GPR55		"G protein-coupled receptor 55"
GPR75	WI-31133	"G protein-coupled receptor 75"
GPRIN1	"GRIN1, KIAA1893"	"G protein regulated inducer of neurite outgrowth 1"
GPRIN3	"FLJ42625, GRIN3"	"GPRIN family member 3"
GPSM2	"DFNB82, LGN, Pins"	"G protein signaling modulator 2"
GRIA2	"GluA2, GLUR2, GLURB"	"Glutamate ionotropic receptor AMPA type subunit 2"
GRIA3	"GluA3, GLUR3, GLURC, MRX94"	"Glutamate ionotropic receptor AMPA type subunit 3"
GRID1	"GluD1, KIAA1220"	"Glutamate ionotropic receptor delta type subunit 1"
GRIFIN		"Galectin-related inter-fiber protein"
GRIK3	"GluK3, GLUR7"	"Glutamate ionotropic receptor kainate type subunit 3"
GRIK4	"GluK4, GRIK, KA1"	"Glutamate ionotropic receptor kainate type subunit 4"
GRIK5	"GluK5, GRIK2, KA2"	"Glutamate ionotropic receptor kainate type subunit 5"
GRIN2C	"GluN2C, NMDAR2C"	"Glutamate ionotropic receptor NMDA type subunit 2C"
GRIN3A	GluN3A	"Glutamate ionotropic receptor NMDA type subunit 3A"
GRIN3B	GluN3B	"Glutamate ionotropic receptor NMDA type subunit 3B"
GRK4	"GPRK2L, GPRK4"	"G protein-coupled receptor kinase 4"
GRM7	"GLUR7, GPRC1G, mGlu7, MGLUR7, PPP1R87"	"Glutamate metabotropic receptor 7"
GRP		"Gastrin releasing peptide"
GSG1L2		"GSG1 like 2"
GSTM1	"GST1, H-B, MU"	"Glutathione S-transferase mu 1"
GSX2	Gsh2	"GS homeobox 2"
GUCY1A2	"GC-SA2, GUC1A2"	"Guanylate cyclase 1 soluble subunit alpha 2"
H2AC12	"dJ86C11.1, H2A/S, H2AFALii, HIST1H2AH"	"H2A clustered histone 12"
H2AC13	"H2A/c, H2AFC, HIST1H2AI"	"H2A clustered histone 13"
H2AC17	"H2A.1, H2A/n, H2AFN, HIST1H2AM"	"H2A clustered histone 17"
H2AC4	"H2A/m, H2AFM, HIST1H2AB"	"H2A clustered histone 4"
H2AC6	"H2AFL, HIST1H2AC"	"H2A clustered histone 6"
H2AC7	"H2A.3, H2A/g, H2AFG, HIST1H2AD"	"H2A clustered histone 7"
H2AC8	"H2A.1, H2A/a, H2AFA, HIST1H2AE"	"H2A clustered histone 8"
H2BC13	"dJ97D16.4, H2B/c, H2BFC, HIST1H2BL"	"H2B clustered histone 13"
H2BC17	"H2B.2, H2B/n, H2BFN, HIST1H2BO"	"H2B clustered histone 17"
H2BC3	"H2B/f, H2BFF, HIST1H2BB"	"H2B clustered histone 3"
H2BU1	HIST3H2BB	"H2B.U histone 1"
H2BW2	"H2BFM, H2BM"	"H2B.W histone 2"
H3C11	"H3.f, H3/f, H3FF, HIST1H3I"	"H3 clustered histone 11"
H3C12	"H3/j, H3FJ, HIST1H3J"	"H3 clustered histone 12"
H3C13	HIST2H3D	"H3 clustered histone 13"
H3C3	"H3.1, H3/c, H3FC, HIST1H3C"	"H3 clustered histone 3"
H3C4	"H3/b, H3FB, HIST1H3D"	"H3 clustered histone 4"
H3C7	"H3/i, H3FI, HIST1H3F"	"H3 clustered histone 7"
H4-16	"HIST4H4, MGC24116"	"H4 histone 16"
H4C12	"dJ160A22.1, H4/d, H4F2iii, H4FD, HIST1H4K"	"H4 clustered histone 12"
H4C13	"H4.k, H4/k, H4FK, HIST1H4L"	"H4 clustered histone 13"
H4C14	"H4/n, H4F2, H4FN, HIST2H4, HIST2H4A"	"H4 clustered histone 14"
HABP4	"IHABP4, SERBP1L"	"Hyaluronan binding protein 4"
HCRTR1	OX1R	"Hypocretin receptor 1"
HDAC11		"Histone deacetylase 11"
HEATR4	MGC48595	"HEAT repeat containing 4"
HEPN1		"Hepatocellular carcinoma, down-regulated 1"
HES4	bHLHb42	"Hes family bHLH transcription factor 4"
HES6	bHLHb41	"Hes family bHLH transcription factor 6"
HHIP	"FLJ20992, HIP"	"Hedgehog interacting protein"
HHIPL1	KIAA1822	"HHIP like 1"
HIGD1B	"CLST11240, CLST11240-15"	"HIG1 hypoxia inducible domain family member 1B"
HIGD1C	Gm921	"HIG1 hypoxia inducible domain family member 1C"
HIP1	ILWEQ	"Huntingtin interacting protein 1"
HIP1R	"FLJ14000, HIP12, HIP3, ILWEQ, KIAA0655"	"Huntingtin interacting protein 1 related"
HMBOX1	"FLJ21616, HNF1LA, HOT1, PBHNF"	"Homeobox containing 1"
HMGCLL1	"bA418P12.1, DKFZP434G1411"	"3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1"
HMSD	"ACC-6, ACC6, C18orf53"	"Histocompatibility minor serpin domain containing"
HOMER1	"HOMER-1B, SYN47, Ves-1"	"Homer scaffold protein 1"
HOXB5	"HOX2, HOX2A"	"Homeobox B5"
HOXB8	"HOX2, HOX2D"	"Homeobox B8"
HOXC5	"HOX3, HOX3D"	"Homeobox C5"
HOXD1	"HOX4, HOX4G"	"Homeobox D1"
HPCAL1	"BDR1, HLP2, VILIP-3"	"Hippocalcin like 1"
HPSE2	"HPA2, HPR2, UFS"	"Heparanase 2 (inactive)"
HRK	DP5	"Harakiri, BCL2 interacting protein"
HRNR	"FLG3, S100A16, S100a18"	Hornerin
HS3ST1	3OST1	"Heparan sulfate-glucosamine 3-sulfotransferase 1"
HS3ST5	3-OST-5	"Heparan sulfate-glucosamine 3-sulfotransferase 5"
HS6ST2		"Heparan sulfate 6-O-sulfotransferase 2"
HS6ST3		"Heparan sulfate 6-O-sulfotransferase 3"
HSD11B1L	"HSD1L, SCDR10, SDR26C2"	"Hydroxysteroid 11-beta dehydrogenase 1 like"
HSF4	CTM	"Heat shock transcription factor 4"
HSP90AA1	"FLJ31884, Hsp89, Hsp90, HSP90N, HSPC1, HSPCA"	"Heat shock protein 90 alpha family class A member 1"
HSPA2		"Heat shock protein family A (Hsp70) member 2"
HSPA6	HSP70B'	"Heat shock protein family A (Hsp70) member 6"
HSPE1	"CPN10, EPF, GroES, HSP10"	"Heat shock protein family E (Hsp10) member 1"
HTR1E	5-HT1E	"5-hydroxytryptamine receptor 1E"
HTR2A	"5-HT2A, HTR2"	"5-hydroxytryptamine receptor 2A"
HYDIN	"CILD5, DKFZp434D0513, KIAA1864, PPP1R31"	"HYDIN axonemal central pair apparatus protein"
IBSP	"BSP, BSP-II, SP-II"	"Integrin binding sialoprotein"
ICOSLG	"B7-H2, B7h, B7H2, B7RP-1, B7RP1, CD275, GL50, ICOS-L, ICOSL, KIAA0653"	"Inducible T cell costimulator ligand"
IFNA13		"Interferon alpha 13"
IGDCC3	"HsT18880, PUNC"	"Immunoglobulin superfamily DCC subclass member 3"
IGDCC4	"LOC57722, NOPE"	"Immunoglobulin superfamily DCC subclass member 4"
IGIP	"C5orf53, LOC492311"	"IgA inducing protein"
IGLON5	LOC402665	"IgLON family member 5"
IGSF21	"MGC15730, RP11-121A23.1"	"Immunoglobin superfamily member 21"
IGSF8	"CD316, CD81P3, EWI2, PGRL"	"Immunoglobulin superfamily member 8"
IGSF9B	"KIAA1030, LINC00947, LOC283174, MIR4697HG"	"Immunoglobulin superfamily member 9B"
IL12RB2		"Interleukin 12 receptor subunit beta 2"
IL17RB	"CRL4, EVI27, IL17BR, IL17RH1"	"Interleukin 17 receptor B"
IL5	"EDF, IL-5, TRF"	"Interleukin 5"
ILDR2	C1orf32	"Immunoglobulin like domain containing receptor 2"
INPP5F	"hSac2, KIAA0966, SAC2"	"Inositol polyphosphate-5-phosphatase F"
INSM1	"IA-1, IA1"	"INSM transcriptional repressor 1"
INSYN1	"C15orf59, LOC388135, MGC131524"	"Inhibitory synaptic factor 1"
INSYN2B	"C5orf57, FAM196B"	"Inhibitory synaptic factor family member 2B"
IPO13	"IMP13, KIAA0724, RANBP13"	"Importin 13"
IQCA1	"DRC11, FLJ22527, IQCA"	"IQ motif containing with AAA domain 1"
IQCJ-SCHIP1		"IQCJ-SCHIP1 readthrough"
IRGM	"IFI1, IRGM1, LRG-47, LRG47"	"Immunity related GTPase M"
IRS4	"IRS-4, PY160"	"Insulin receptor substrate 4"
IRX1	IRX-5	"Iroquois homeobox 1"
ITGB8		"Integrin subunit beta 8"
ITM2C	"BRI3, BRICD2C, E25, hRPC.1050_D_4, ITM3"	"Integral membrane protein 2C"
ITPKA	"IP3-3KA, IP3KA"	"Inositol-trisphosphate 3-kinase A"
ITPKB	"IP3-3KB, IP3KB"	"Inositol-trisphosphate 3-kinase B"
JAKMIP1	"FLJ31564, Gababrbp, JAMIP1, MARLIN1"	"Janus kinase and microtubule interacting protein 1"
JAKMIP2	"JAMIP2, KIAA0555"	"Janus kinase and microtubule interacting protein 2"
JPH4	"JPHL1, KIAA1831"	"Junctophilin 4"
KALRN	"ARHGEF24, DUET, duo, HAPIP, Hs.8004, Kalirin, TRAD"	"Kalirin RhoGEF kinase"
KANK4	"ANKRD38, KIAA0172"	"KN motif and ankyrin repeat domains 4"
KBTBD11	"KIAA0711, KLHDC7C"	"Kelch repeat and BTB domain containing 11"
KCNAB1	"AKR6A3, hKvb3, hKvBeta3, KCNA1B, Kvb1.3"	"Potassium voltage-gated channel subfamily A member regulatory beta subunit 1"
KCNAB2	"AKR6A5, HKvbeta2.1, HKvbeta2.2, KCNA2B"	"Potassium voltage-gated channel subfamily A regulatory beta subunit 2"
KCNB2	Kv2.2	"Potassium voltage-gated channel subfamily B member 2"
KCNC3	"Kv3.3, SCA13"	"Potassium voltage-gated channel subfamily C member 3"
KCNC4	"C1orf30, HKSHIIIC, Kv3.4"	"Potassium voltage-gated channel subfamily C member 4"
KCND3	"KSHIVB, Kv4.3, SCA19, SCA22"	"Potassium voltage-gated channel subfamily D member 3"
KCNE5	KCNE1L	"Potassium voltage-gated channel subfamily E regulatory subunit 5"
KCNG1	"K13, KCNG, kH2, Kv6.1"	"Potassium voltage-gated channel modifier subfamily G member 1"
KCNH8	"elk3, Kv12.1"	"Potassium voltage-gated channel subfamily H member 8"
KCNIP1	KCHIP1	"Potassium voltage-gated channel interacting protein 1"
KCNIP2	KCHIP2	"Potassium voltage-gated channel interacting protein 2"
KCNIP4	"CALP, KCHIP4, MGC44947"	"Potassium voltage-gated channel interacting protein 4"
KCNJ3	"GIRK1, KGA, Kir3.1"	"Potassium inwardly rectifying channel subfamily J member 3"
KCNK1	"DPK, K2p1.1, TWIK-1"	"Potassium two pore domain channel subfamily K member 1"
KCNK10	"K2p10.1, PPP1R97, TREK-2, TREK2"	"Potassium two pore domain channel subfamily K member 10"
KCNMB4		"Potassium calcium-activated channel subfamily M regulatory beta subunit 4"
KCNN2	"hSK2, KCa2.2"	"Potassium calcium-activated channel subfamily N member 2"
KCNQ4	"DFNA2, Kv7.4"	"Potassium voltage-gated channel subfamily Q member 4"
KCNS2	Kv9.2	"Potassium voltage-gated channel modifier subfamily S member 2"
KCNT1	"KCa4.1, KIAA1422, SLACK, Slo2.2"	"Potassium sodium-activated channel subfamily T member 1"
KCTD13	"FKSG86, PDIP1, POLDIP1"	"Potassium channel tetramerization domain containing 13"
KCTD17	FLJ12242	"Potassium channel tetramerization domain containing 17"
KHDC1	"bA257K9.4, C6orf147, C6orf148, Em:AC019205.8, MGC10818, NDG1"	"KH domain containing 1"
KHDRBS2	"MGC26664, SLM-1, SLM1"	"KH RNA binding domain containing, signal transduction associated 2"
KIAA0408		KIAA0408
KIAA0513		KIAA0513
KIAA0930	"bK268H5.C22.1, C22orf9"	KIAA0930
KIAA1328		KIAA1328
KIAA1958	FLJ39294	KIAA1958
KIF21A	"FEOM1, FLJ20052"	"Kinesin family member 21A"
KIF21B	"DKFZP434J212, KIAA0449"	"Kinesin family member 21B"
KIF25	KNSL3	"Kinesin family member 25"
KIF26B	FLJ10157	"Kinesin family member 26B"
KIF3A	"FLA10, KLP-20"	"Kinesin family member 3A"
KIF6	"C6orf102, dJ1043E3.1, dJ137F1.4, dJ188D3.1, DKFZp451I2418, MGC33317"	"Kinesin family member 6"
KIFC2		"Kinesin family member C2"
KLC1	"hKLC1B, hKLC1G, hKLC1J, hKLC1N, hKLC1P, hKLC1R, hKLC1S, KLC, KNS2, KNS2A"	"Kinesin light chain 1"
KLF16	"BTEB4, DRRF, NSLP2"	"Kruppel like factor 16"
KLHL2	MAV	"Kelch like family member 2"
KLHL3	KIAA1129	"Kelch like family member 3"
KLHL4	"DKELCHL, KHL4, KIAA1687"	"Kelch like family member 4"
KLK6	"Bssp, Klk7, neurosin, PRSS18, PRSS9"	"Kallikrein related peptidase 6"
KLRC2	"CD159c, NKG2-C"	"Killer cell lectin like receptor C2"
KLRC3	NKG2-E	"Killer cell lectin like receptor C3"
KNDC1	"bB439H18.3, C10orf23, FLJ25027, KIAA1768, RASGEF2, v-KIND, Very-KIND"	"Kinase non-catalytic C-lobe domain containing 1"
KRT222	"KA21, KRT222P, MGC45562"	"Keratin 222"
L1CAM	"CD171, HSAS, HSAS1, MASA, MIC5, S10, SPG1"	"L1 cell adhesion molecule"
LACC1	"C13orf31, FAMIN, FLJ38725"	"Laccase domain containing 1"
LAMP5	"BAD-LAMP, C20orf103, dJ1119D9.3, UNC-46"	"Lysosomal associated membrane protein family member 5"
LANCL1	"GPR69A, p40"	"LanC like 1"
LANCL3	FLJ42925	"LanC like 3"
LCNL1	FLJ45224	"Lipocalin like 1"
LCTL	"FLJ33279, KLG, KLPH"	"Lactase like"
LDLRAD4	C18orf1	"Low density lipoprotein receptor class A domain containing 4"
LGR5	"FEX, GPR49, GPR67, HG38"	"Leucine rich repeat containing G protein-coupled receptor 5"
LHCGR	"HHG, LCGR, LGR2, LHR, ULG5"	"Luteinizing hormone/choriogonadotropin receptor"
LHPP	HDHD2B	"Phospholysine phosphohistidine inorganic pyrophosphate phosphatase"
LHX8	Lhx7	"LIM homeobox 8"
LHX9		"LIM homeobox 9"
LIMK1	LIMK	"LIM domain kinase 1"
LINC00672		"Long intergenic non-protein coding RNA 672"
LINC02210-CRHR1		"LINC02210-CRHR1 readthrough"
LINGO1	"FLJ14594, LERN1, LRRN6A"	"Leucine rich repeat and Ig domain containing 1"
LLGL1	"DLG4, HUGL, HUGL-1, Lgl1, LLGL, Mgl1"	"LLGL scribble cell polarity complex component 1"
LMO1	"RBTN1, RHOM1, TTG1"	"LIM domain only 1"
LMO3	"DAT1, RBTNL2, Rhom-3"	"LIM domain only 3"
LMX1B	NPS1	"LIM homeobox transcription factor 1 beta"
LPAR4	"GPR23, LPA4, P2RY9, P2Y5-LIKE, P2Y9"	"Lysophosphatidic acid receptor 4"
LRAT	LCA14	"Lecithin retinol acyltransferase"
LRFN1	"KIAA1484, SALM2"	"Leucine rich repeat and fibronectin type III domain containing 1"
LRFN5	"C14orf146, FIGLER8, SALM5"	"Leucine rich repeat and fibronectin type III domain containing 5"
LRP1B	"LRP-DIT, LRPDIT"	"LDL receptor related protein 1B"
LRP2	"DBS, gp330"	"LDL receptor related protein 2"
LRRC3B	LRP15	"Leucine rich repeat containing 3B"
LRRC4	NAG14	"Leucine rich repeat containing 4"
LRRC4B	"DKFZp761A179, HSM, LRIG4"	"Leucine rich repeat containing 4B"
LRRC4C	"KIAA1580, NGL-1"	"Leucine rich repeat containing 4C"
LRRC63	RP11-139H14.4	"Leucine rich repeat containing 63"
LRRC74B		"Leucine rich repeat containing 74B"
LRRC8D	"FLJ10470, LRRC5"	"Leucine rich repeat containing 8 VRAC subunit D"
LRRN1	FIGLER3	"Leucine rich repeat neuronal 1"
LRRTM3		"Leucine rich repeat transmembrane neuronal 3"
LSAMP	"IGLON3, LAMP"	"Limbic system associated membrane protein"
LY6H	NMLY6	"Lymphocyte antigen 6 family member H"
LY6L		"Lymphocyte antigen 6 family member L"
LYG2	LYGH	"Lysozyme g2"
LYNX1	SLURP2	"Ly6/neurotoxin 1"
LYPD6	MGC52057	"LY6/PLAUR domain containing 6"
LZTS3	"KIAA0552, ProSAPiP1"	"Leucine zipper tumor suppressor family member 3"
MAB21L3	"C1orf161, FLJ38716"	"Mab-21 like 3"
MACIR	"C5orf30, FLJ25291"	"Macrophage immunometabolism regulator"
MAGED4B		"MAGE family member D4B"
MAGEE1	"DAMAGE, KIAA1587"	"MAGE family member E1"
MAGEE2	HCA3	"MAGE family member E2"
MAGI2	"ACVRIP1, AIP1, ARIP1, KIAA0705, MAGI-2"	"Membrane associated guanylate kinase, WW and PDZ domain containing 2"
MAN2A1	"GOLIM7, MANA2"	"Mannosidase alpha class 2A member 1"
MANEAL	FLJ31434	"Mannosidase endo-alpha like"
MAP1S	"BPY2IP1, C19orf5, FLJ10669, MAP8, VCY2IP1"	"Microtubule associated protein 1S"
MAP3K10	"MEKK10, MLK2, MST"	"Mitogen-activated protein kinase kinase kinase 10"
MAP3K9	"MEKK9, MLK1, PRKE1"	"Mitogen-activated protein kinase kinase kinase 9"
MAP6D1	"FLJ12748, SL21"	"MAP6 domain containing 1"
MAP7	E-MAP-115	"Microtubule associated protein 7"
MAP7D2	FLJ14503	"MAP7 domain containing 2"
MAP9	"ASAP, FLJ21159"	"Microtubule associated protein 9"
MAPK10	"JNK3, p493F12, p54bSAPK, PRKM10"	"Mitogen-activated protein kinase 10"
MAPK11	"p38-2, p38Beta, PRKM11, SAPK2"	"Mitogen-activated protein kinase 11"
MAPK4	"Erk3-related, Erk4, PRKM4"	"Mitogen-activated protein kinase 4"
MAPK8IP1	"IB1, JIP-1, JIP1, PRKM8IP"	"Mitogen-activated protein kinase 8 interacting protein 1"
MAPT	"DDPAC, FLJ31424, FTDP-17, MAPTL, MGC138549, MSTD, MTBT1, MTBT2, PPND, PPP1R103, tau"	"Microtubule associated protein tau"
MARCKSL1	"F52, MacMARCKS, MLP, MLP1"	"MARCKS like 1"
MAST3	KIAA0561	"Microtubule associated serine/threonine kinase 3"
MATK	"CHK, CTK, DKFZp434N1212, HHYLTK, HYL, HYLTK, Lsk, MGC1708, MGC2101"	"Megakaryocyte-associated tyrosine kinase"
